title,budget,revenue,roi,rating,popularity,genre,season,release_date
The Strangers: Chapter 2,8000000,21855027,2.731878375,6.094,29.5423,Horror,Fall,2025-09-25
Lilo & Stitch,100000000,1037247842,10.37247842,7.255,29.3513,Family,Spring,2025-05-17
It Chapter Two,79000000,473123154,5.988900683544304,6.838,28.6303,Horror,Fall,2019-09-04
Titanic,200000000,2264162353,11.320811765,7.903,28.5469,Drama,Fall,1997-11-18
Martin,17647000,3247000,0.1839972799909333,4.058,26.2517,Action,Fall,2024-10-11
Ballerina,90000000,137258395,1.5250932777777777,7.32,27.3515,Action,Summer,2025-06-04
The Long Walk,20000000,54054069,2.70270345,6.943,27.2018,Thriller,Fall,2025-09-10
Inside Out 2,200000000,1698863816,8.49431908,7.55,27.1524,Animation,Summer,2024-06-11
A Minecraft Movie,150000000,957949195,6.386327966666666,6.347,29.196,Family,Spring,2025-03-31
It,35000000,704242888,20.121225371428572,7.238,27.3071,Horror,Fall,2017-09-06
Ne Zha 2,80000000,2150000000,26.875,8.029,27.9553,Animation,Winter,2025-01-29
Avatar: The Way of Water,350000000,2330224914,6.657785468571428,7.609,28.5891,Action,Winter,2022-12-14
After the Hunt,80000000,9299531,0.1162441375,5.891,25.5727,Drama,Fall,2025-10-09
Harry Potter and the Philosopher's Stone,125000000,976475550,7.8118044,7.9,25.4821,Adventure,Fall,2001-11-16
Moana 2,150000000,1059242164,7.061614426666667,7.026,26.7439,Family,Fall,2024-11-21
Valiant One,10000000,1236630,0.123663,6.841,23.8096,War,Winter,2025-01-30
The Dark Knight,185000000,1004558444,5.430045643243243,8.525,25.3668,Drama,Summer,2008-07-16
Deadpool & Wolverine,200000000,1338073645,6.690368225,7.569,24.3795,Action,Summer,2024-07-24
Home Alone 2: Lost in New York,18000000,358994850,19.944158333333334,6.8,25.1257,Comedy,Fall,1992-11-15
Marco,3467000,11559000,3.3340063455436977,6.597,23.9453,Action,Winter,2024-12-20
Inception,160000000,839030630,5.2439414375,8.371,24.1752,Action,Summer,2010-07-15
Red One,250000000,185700759,0.742803036,7.0,24.5182,Action,Fall,2024-10-31
Five Nights at Freddy's,20000000,297144130,14.8572065,7.4,25.6425,Horror,Fall,2023-10-25
Avatar,237000000,2923706026,12.336312345991562,7.594,26.7105,Action,Winter,2009-12-15
The Godfather,6000000,245066411,40.844401833333336,8.684,25.5233,Drama,Spring,1972-03-14
Final Destination Bloodlines,50000000,315630814,6.31261628,7.109,22.9735,Horror,Spring,2025-05-14
Gabby's Dollhouse: The Movie,32000000,67600000,2.1125,6.7,21.7082,Family,Fall,2025-09-13
Kraven the Hunter,130000000,62076533,0.4775117923076923,6.469,20.711,Action,Winter,2024-12-11
A Working Man,40000000,99068160,2.476704,6.707,23.3457,Action,Spring,2025-03-26
Sonic the Hedgehog 3,122000000,492162604,4.034119704918033,7.642,22.8152,Action,Winter,2024-12-19
Freakier Friday,42000000,152889065,3.6402158333333334,6.886,20.8149,Comedy,Summer,2025-08-06
Yogi Bear,80000000,203509374,2.543867175,5.6,37.8434,Comedy,Winter,2010-12-17
Weapons,38000000,265894217,6.997216236842105,7.317,22.7381,Horror,Summer,2025-08-04
The Lord of the Rings: The Fellowship of the Ring,93000000,871368364,9.369552301075268,8.426,22.2574,Adventure,Winter,2001-12-18
The Wolf of Wall Street,100000000,407038432,4.07038432,8.026,20.5095,Crime,Winter,2013-12-25
M3GAN 2.0,25000000,39085942,1.56343768,7.375,21.6051,Action,Summer,2025-06-25
E.T. the Extra-Terrestrial,10500000,797307407,75.93403876190476,7.51,28.1932,Science Fiction,Summer,1982-06-11
Harry Potter and the Goblet of Fire,150000000,895921036,5.9728069066666665,7.8,21.5802,Adventure,Fall,2005-11-16
Avengers: Infinity War,300000000,2052415039,6.841383463333333,8.236,22.0512,Adventure,Spring,2018-04-25
The Lord of the Rings: The Return of the King,94000000,1118888979,11.903074244680852,8.491,21.766,Adventure,Winter,2003-12-17
Now You See Me,75000000,351723989,4.689653186666667,7.333,20.3609,Thriller,Spring,2013-05-29
Thunderbolts*,180000000,382436917,2.124649538888889,7.311,20.8997,Action,Spring,2025-04-30
Harry Potter and the Chamber of Secrets,100000000,876688482,8.76688482,7.705,19.9336,Adventure,Fall,2002-11-13
The Roses,30600000,51498093,1.6829442156862746,6.752,19.2343,Comedy,Summer,2025-08-27
Twinless,2000000,1390057,0.6950285,7.2,19.8257,Comedy,Fall,2025-09-04
The Grinch,75000000,508600000,6.781333333333333,6.872,20.5583,Family,Fall,2018-11-08
Sinners,90000000,365878513,4.065316811111111,7.508,21.9556,Horror,Spring,2025-04-16
Companion,10000000,36809101,3.6809101,7.044,22.0298,Horror,Winter,2025-01-22
Frozen,150000000,1274219009,8.494793393333333,7.2,19.5948,Animation,Fall,2013-11-20
Harry Potter and the Prisoner of Azkaban,130000000,789804554,6.075419646153846,8.011,19.5288,Adventure,Spring,2004-05-31
Shrek,60000000,488628188,8.143803133333334,7.754,19.8512,Animation,Spring,2001-05-18
The Super Mario Bros. Movie,100000000,1362000000,13.62,7.603,20.2658,Family,Spring,2023-04-05
Bring Her Back,15000000,39123752,2.608250133333333,7.418,18.8398,Horror,Spring,2025-05-28
Saiyaara,5500000,63539300,11.5526,6.354,21.0395,Romance,Summer,2025-07-18
